Timestamp,Peccala,BTC/USDT,ETH/USDT,XRP/USDT,Dates
1610312400,1.0,1.0,1.0,1.0,2021-01-10 21:00:00
1610316000,1.0070817010807418,1.0086221406308271,1.0097430721670786,1.0058067192036495,2021-01-10 22:00:00
1610319600,1.0033847074910656,1.0186220637633925,1.0117218853559875,1.001084771719363,2021-01-10 23:00:00
1610323200,1.0036551976015409,1.011204886436317,0.9967496602640008,1.0045943272820086,2021-01-11 00:00:00
1610326800,0.99715458733596,0.9858142474585372,0.9687760762280164,0.9653830201320868,2021-01-11 01:00:00
1610330400,0.9938428937780428,0.9870221264236048,0.9602091661169964,0.9694987716555528,2021-01-11 02:00:00
1610334000,0.9833988213115996,0.9638627635327106,0.9426064704807164,0.951887183741186,2021-01-11 03:00:00
1610337600,0.9731083323042566,0.9393261482603176,0.8781639156660018,0.877420795711961,2021-01-11 04:00:00
1610341200,0.9737729084431131,0.9421010626525256,0.8853003584115455,0.8884918482595794,2021-01-11 05:00:00
1610344800,0.9729866724816464,0.9251851908790693,0.8695493233094658,0.8879175573493282,2021-01-11 06:00:00
1610348400,0.9680185207769341,0.8705438424016143,0.8169001772190126,0.8567144178923521,2021-01-11 07:00:00
1610352000,0.9680224850404958,0.9110712696300212,0.8519068924685894,0.8926075997830456,2021-01-11 08:00:00
1610355600,0.9677346791667708,0.9391080037818778,0.88108047968339,0.9209711897393356,2021-01-11 09:00:00
1610359200,0.969023432438022,0.9480134936805692,0.9022275555696836,0.9329993938040392,2021-01-11 10:00:00
1610362800,0.9679440211497344,0.937486100909978,0.8837188972686021,0.9255655170213444,2021-01-11 11:00:00
1610366400,0.9685141498598184,0.9064671753523776,0.8484658237505266,0.9055929553648342,2021-01-11 12:00:00
1610370000,0.9706976414874602,0.9084535358887426,0.8529559018699387,0.904827234151166,2021-01-11 13:00:00
1610373600,0.970775964405498,0.86963362595087,0.8155571273036485,0.8844080017866828,2021-01-11 14:00:00
1610377200,0.9728985589590428,0.8824264875637767,0.8253240405934851,0.8812494017803018,2021-01-11 15:00:00
1610380800,0.9740278347845968,0.8371346046853617,0.7765927856762536,0.8505248380818684,2021-01-11 16:00:00
